time_of_trip,lat,lon
9/5/2014 0:23,40.75368,-73.82756
9/5/2014 0:24,40.74085,-73.98777
9/5/2014 0:24,40.73354,-73.99165
9/5/2014 0:24,40.72539,-73.94161
9/5/2014 0:24,40.75906,-73.97844
9/5/2014 0:24,40.69168,-73.96737
9/5/2014 0:24,40.72554,-73.9498
9/5/2014 0:24,40.69185,-73.96587
9/5/2014 0:24,40.86188,-73.9261
9/5/2014 0:24,40.74148,-73.97971
9/5/2014 0:25,40.75676,-73.9979
9/5/2014 0:25,40.77279,-73.9817
9/5/2014 0:25,40.69578,-73.98434
9/5/2014 0:25,40.73652,-73.98175
9/5/2014 0:25,40.7296,-73.98095
9/5/2014 0:25,40.71882,-73.99474
9/5/2014 0:25,40.70237,-73.92877
9/5/2014 0:25,40.75617,-73.9706
9/5/2014 0:25,40.73431,-73.81982
9/5/2014 0:26,40.77901,-73.9821
9/5/2014 0:26,40.76,-73.96772
9/5/2014 0:26,40.63221,-73.95183
9/5/2014 0:26,40.72646,-74.00131
9/5/2014 0:26,40.68372,-73.93317
9/5/2014 0:26,40.66052,-73.83078
9/5/2014 0:27,40.74975,-73.98767
9/5/2014 0:27,40.70573,-73.93189
9/5/2014 0:27,40.78074,-73.94964
9/5/2014 0:27,40.72246,-73.98753
9/5/2014 0:27,40.73629,-73.98918
9/5/2014 0:27,40.72246,-73.98451
9/5/2014 0:27,40.75091,-73.97617
9/5/2014 0:27,40.7612,-73.9974
9/5/2014 0:27,40.7832,-73.97784
9/5/2014 0:28,40.70299,-73.90633
9/5/2014 0:28,40.76459,-73.96436
9/5/2014 0:28,40.72947,-73.9917
9/5/2014 0:28,40.7186,-73.99633
9/5/2014 0:28,40.74383,-73.98337
9/5/2014 0:29,40.79833,-73.96929
9/5/2014 0:29,40.70264,-74.01227
9/5/2014 0:29,40.74019,-74.00571
9/5/2014 0:29,40.70761,-74.01006
9/5/2014 0:29,40.74449,-73.99649
9/5/2014 0:29,40.73484,-73.99878
9/5/2014 0:29,40.82935,-73.92846
9/5/2014 0:29,40.76562,-73.97193
9/5/2014 0:29,40.72795,-74.00634
9/5/2014 0:29,40.74349,-73.97259
9/5/2014 0:30,40.76999,-73.95949
9/5/2014 0:30,40.78557,-73.96912
9/5/2014 0:30,40.66666,-73.99158
9/5/2014 0:30,40.78839,-73.97102
9/5/2014 0:31,40.77421,-73.93182
9/5/2014 0:31,40.71067,-73.99417
9/5/2014 0:31,40.69187,-73.98903
9/5/2014 0:31,40.75208,-73.9703
9/5/2014 0:31,40.78498,-73.94711
9/5/2014 0:31,40.69177,-73.9349
9/5/2014 0:31,40.71327,-74.01172
9/5/2014 0:31,40.74895,-74.00332
9/5/2014 0:31,40.76075,-73.96476
9/5/2014 0:31,40.74504,-73.98507
9/5/2014 0:31,40.68389,-73.92924
9/5/2014 0:32,40.66586,-73.99238
9/5/2014 0:32,40.687,-73.94378
9/5/2014 0:32,40.73494,-73.9795
9/5/2014 0:32,40.75202,-73.97387
9/5/2014 0:32,40.80985,-73.95512
9/5/2014 0:32,40.74765,-73.99312
9/5/2014 0:32,40.76435,-73.98855
9/5/2014 0:33,40.69125,-73.95733
9/5/2014 0:33,40.67188,-73.96405
9/5/2014 0:33,40.74825,-73.97475
9/5/2014 0:33,40.77228,-73.95468
9/5/2014 0:33,40.77514,-73.98786
9/5/2014 0:33,40.71567,-74.0135
9/5/2014 0:33,40.67039,-73.89163
9/5/2014 0:33,40.6484,-73.92655
9/5/2014 0:34,40.7401,-73.9843
9/5/2014 0:34,40.6446,-73.78269
9/5/2014 0:34,40.57838,-73.93973
9/5/2014 0:34,40.79663,-73.9328
9/5/2014 0:34,40.75933,-73.98129
9/5/2014 0:34,40.76132,-73.97986
9/5/2014 0:34,40.75161,-73.96853
9/5/2014 0:34,40.76,-73.96693
9/5/2014 0:34,40.69894,-73.91728
9/5/2014 0:34,40.71231,-73.95738
9/5/2014 0:35,40.76557,-73.95764
9/5/2014 0:35,40.7742,-73.87244
9/5/2014 0:35,40.78811,-73.94429
9/5/2014 0:35,40.73904,-74.00065
9/5/2014 0:35,40.68543,-73.95783
9/5/2014 0:35,40.81992,-73.94968
9/5/2014 0:35,40.79531,-73.96205
9/5/2014 0:35,40.74154,-73.98956
9/5/2014 0:36,40.64848,-73.99968
9/5/2014 0:36,40.68564,-73.93601
9/5/2014 0:36,40.73822,-73.992
9/5/2014 0:36,40.72745,-74.00043
9/5/2014 0:36,40.79464,-73.97191
9/5/2014 0:37,40.78022,-73.9494
9/5/2014 0:37,40.76367,-73.97586
9/5/2014 0:37,40.7544,-73.9839
9/5/2014 0:37,40.72398,-73.99449
9/5/2014 0:37,40.76608,-73.98705
9/5/2014 0:37,40.72799,-74.00171
9/5/2014 0:37,40.74678,-73.97997
9/5/2014 0:37,40.66643,-73.89456
9/5/2014 0:38,40.73164,-73.99488
9/5/2014 0:38,40.73709,-74.00525
9/5/2014 0:38,40.72381,-74.00795
9/5/2014 0:38,40.75881,-73.98576
9/5/2014 0:38,40.70985,-74.0153
9/5/2014 0:38,40.77985,-73.94838
9/5/2014 0:39,40.79748,-73.93891
9/5/2014 0:39,40.7294,-74.01052
9/5/2014 0:39,40.72236,-73.98806
9/5/2014 0:39,40.78166,-73.95857
9/5/2014 0:39,40.72289,-73.97662
9/5/2014 0:39,40.70799,-74.01445
9/5/2014 0:39,40.75375,-73.94582
9/5/2014 0:39,40.72536,-73.98412
9/5/2014 0:40,40.75449,-73.97928
9/5/2014 0:40,40.76408,-73.97263
9/5/2014 0:40,40.71716,-73.9907
9/5/2014 0:40,40.7733,-73.98119
9/5/2014 0:41,40.70662,-74.00846
9/5/2014 0:41,40.68279,-73.92269
9/5/2014 0:41,40.74779,-73.98738
9/5/2014 0:41,40.71942,-73.99963
9/5/2014 0:41,40.74631,-73.9977
9/5/2014 0:41,40.78541,-73.95329
9/5/2014 0:41,40.74721,-73.99303
9/5/2014 0:41,40.74763,-74.00439
9/5/2014 0:41,40.68255,-73.90781
9/5/2014 0:42,40.75293,-73.98149
9/5/2014 0:42,40.69043,-73.95983
9/5/2014 0:42,40.73528,-74.00065
9/5/2014 0:42,40.77411,-73.87256
9/5/2014 0:42,40.76389,-73.91499
9/5/2014 0:42,40.7136,-73.82982
9/5/2014 0:42,40.75749,-73.97797
9/5/2014 0:43,40.69573,-73.97141
9/5/2014 0:43,40.74761,-73.9565
9/5/2014 0:43,40.78994,-73.94875
9/5/2014 0:43,40.74998,-73.9951
9/5/2014 0:43,40.72805,-74.00539
9/5/2014 0:43,40.77049,-73.95114
9/5/2014 0:44,40.74482,-73.98701
9/5/2014 0:44,40.76115,-73.95982
9/5/2014 0:44,40.70801,-73.95436
9/5/2014 0:44,40.78256,-73.94713
9/5/2014 0:44,40.76671,-73.98287
9/5/2014 0:44,40.71731,-74.01263
9/5/2014 0:45,40.75119,-73.98877
9/5/2014 0:45,40.75692,-73.97819
9/5/2014 0:45,40.74483,-73.98258
9/5/2014 0:45,40.72396,-73.99263
9/5/2014 0:46,40.74463,-73.9969
9/5/2014 0:46,40.80588,-73.96277
9/5/2014 0:46,40.7425,-74.00705
9/5/2014 0:46,40.75232,-73.98963
9/5/2014 0:46,40.7383,-73.99198
9/5/2014 0:46,40.6724,-74.01096
9/5/2014 0:46,40.76262,-73.99698
9/5/2014 0:46,40.7054,-74.00706
9/5/2014 0:46,40.775,-73.98805
9/5/2014 0:47,40.72018,-73.99988
9/5/2014 0:47,40.68963,-73.99238
9/5/2014 0:47,40.73445,-73.99977
9/5/2014 0:47,40.75261,-73.99616
9/5/2014 0:47,40.72611,-74.00265
9/5/2014 0:47,40.71481,-74.0144
9/5/2014 0:48,40.78649,-73.97216
9/5/2014 0:48,40.75622,-73.99858
9/5/2014 0:48,40.67598,-73.93484
9/5/2014 0:48,40.6368,-73.97311
9/5/2014 0:48,40.74022,-74.0058
9/5/2014 0:48,40.76402,-73.96122
9/5/2014 0:49,40.74575,-73.98019
9/5/2014 0:49,40.68512,-73.97799
9/5/2014 0:49,40.70646,-74.00642
9/5/2014 0:49,40.68924,-73.95485
9/5/2014 0:49,40.75423,-73.97825
9/5/2014 0:49,40.76007,-73.98031
9/5/2014 0:50,40.77406,-73.87246
9/5/2014 0:50,40.7231,-73.98945
9/5/2014 0:50,40.73737,-73.99023
9/5/2014 0:50,40.7463,-74.00519
9/5/2014 0:50,40.76364,-73.96377
9/5/2014 0:50,40.68162,-73.97945
9/5/2014 0:50,40.77973,-73.9771
9/5/2014 0:50,40.8015,-73.96413
9/5/2014 0:50,40.72341,-73.97397
9/5/2014 0:50,40.74745,-73.89159
9/5/2014 0:50,40.72013,-73.9897
9/5/2014 0:50,40.74145,-73.99516
9/5/2014 0:50,40.70805,-74.00389
9/5/2014 0:50,40.75384,-73.98159
9/5/2014 0:51,40.73294,-74.00412
9/5/2014 0:51,40.72656,-73.99418
9/5/2014 0:51,40.74049,-73.98502
9/5/2014 0:51,40.75923,-73.97668
9/5/2014 0:51,40.67073,-73.99312
9/5/2014 0:51,40.73863,-73.99386
9/5/2014 0:51,40.74919,-73.97629
9/5/2014 0:51,40.79729,-73.96995
9/5/2014 0:51,40.71977,-73.84371
9/5/2014 0:51,40.74979,-73.98147
9/5/2014 0:51,40.75301,-73.98374
9/5/2014 0:51,40.78914,-73.98038
9/5/2014 0:52,40.78178,-73.95534
9/5/2014 0:52,40.75605,-73.97436
9/5/2014 0:52,40.7599,-73.9878
9/5/2014 0:52,40.75194,-73.97351
9/5/2014 0:52,40.69269,-73.93339
9/5/2014 0:52,40.65951,-73.93756
9/5/2014 0:53,40.75986,-73.98009
9/5/2014 0:53,40.71321,-74.00446
9/5/2014 0:53,40.7794,-73.98346
9/5/2014 0:53,40.7275,-73.99069
9/5/2014 0:53,40.76773,-73.98958
9/5/2014 0:54,40.72456,-73.79397
9/5/2014 0:54,40.74323,-73.98405
9/5/2014 0:54,40.74441,-73.95136
9/5/2014 0:54,40.69192,-73.96514
9/5/2014 0:54,40.74008,-73.97978
9/5/2014 0:54,40.76404,-73.96185
9/5/2014 0:55,40.85767,-73.90987
9/5/2014 0:55,40.76831,-73.95309
9/5/2014 0:55,40.74786,-73.9809
9/5/2014 0:55,40.82746,-73.94604
9/5/2014 0:56,40.72269,-73.99896
9/5/2014 0:56,40.75237,-73.99696
9/5/2014 0:56,40.71401,-74.00868
9/5/2014 0:56,40.62295,-74.0283
9/5/2014 0:56,40.70823,-74.00323
9/5/2014 0:56,40.75881,-73.99234
9/5/2014 0:57,40.71951,-73.96318
9/5/2014 0:57,40.74543,-73.99481
9/5/2014 0:57,40.76271,-73.95957
9/5/2014 0:57,40.77814,-73.95207
9/5/2014 0:57,40.72266,-74.00841
9/5/2014 0:57,40.76824,-73.98219
9/5/2014 0:57,40.74545,-73.97846
9/5/2014 0:57,40.73921,-73.987
9/5/2014 0:57,40.75794,-73.97331
9/5/2014 0:57,40.72394,-74.00652
9/5/2014 0:57,40.74384,-73.9922
9/5/2014 0:57,40.74629,-73.97954
9/5/2014 0:58,40.74514,-73.92496
9/5/2014 0:58,40.7282,-73.99556
9/5/2014 0:58,40.78056,-73.9765
9/5/2014 0:58,40.6954,-73.93239
9/5/2014 0:58,40.70763,-73.94156
9/5/2014 0:58,40.70836,-73.94337
9/5/2014 0:59,40.71683,-74.0103
9/5/2014 0:59,40.66036,-73.91296
9/5/2014 0:59,40.75513,-73.98081
9/5/2014 0:59,40.67178,-73.96352
9/5/2014 0:59,40.72212,-73.98631
9/5/2014 0:59,40.75511,-73.84428
9/5/2014 0:59,40.74203,-73.97483
9/5/2014 0:59,40.74354,-73.98803
9/5/2014 0:59,40.71851,-74.00039
9/5/2014 1:00,40.80496,-73.95497
9/5/2014 1:00,40.76576,-73.96983
9/5/2014 1:00,40.68693,-73.98228
9/5/2014 1:00,40.74765,-73.99671
9/5/2014 1:00,40.74485,-73.99716
9/5/2014 1:00,40.77387,-73.87147
9/5/2014 1:01,40.75231,-73.98014
9/5/2014 1:01,40.74931,-73.97016
9/5/2014 1:01,40.68198,-73.96659
9/5/2014 1:01,40.63711,-73.95678
9/5/2014 1:01,40.71842,-73.96162
9/5/2014 1:01,40.72859,-74.00498
9/5/2014 1:01,40.73893,-73.98516
9/5/2014 1:01,40.71413,-74.00853
9/5/2014 1:02,40.69378,-73.99044
9/5/2014 1:02,40.74576,-73.99373
9/5/2014 1:02,40.62835,-73.9727
9/5/2014 1:02,40.72551,-74.00376
9/5/2014 1:02,40.75504,-73.94155
9/5/2014 1:02,40.73447,-73.99889
9/5/2014 1:03,40.74465,-73.99695
9/5/2014 1:03,40.75023,-74.00237
9/5/2014 1:03,40.73363,-73.98694
9/5/2014 1:03,40.71574,-73.94033
9/5/2014 1:03,40.8506,-73.9366
9/5/2014 1:04,40.74401,-73.8899
9/5/2014 1:04,40.72521,-73.98416
9/5/2014 1:04,40.72752,-73.99493
9/5/2014 1:04,40.74589,-73.95508
9/5/2014 1:04,40.72039,-73.95737
9/5/2014 1:04,40.7558,-73.97483
9/5/2014 1:04,40.77334,-73.95475
9/5/2014 1:04,40.71802,-73.99341
9/5/2014 1:04,40.65809,-73.95885
9/5/2014 1:04,40.73878,-73.99066
9/5/2014 1:04,40.75058,-74.002
9/5/2014 1:04,40.74492,-73.9976
9/5/2014 1:05,40.74476,-73.98367
9/5/2014 1:05,40.85965,-73.88762
9/5/2014 1:05,40.84138,-73.94087
9/5/2014 1:05,40.72226,-73.98668
9/5/2014 1:05,40.71177,-73.95583
9/5/2014 1:05,40.70943,-73.9516
9/5/2014 1:05,40.73034,-73.99995
9/5/2014 1:06,40.7335,-73.98767
9/5/2014 1:06,40.73462,-73.98699
9/5/2014 1:06,40.76071,-73.99838
9/5/2014 1:06,40.7563,-73.9973
9/5/2014 1:06,40.74994,-74.00553
9/5/2014 1:06,40.73041,-74.00002
9/5/2014 1:07,40.74698,-73.97895
9/5/2014 1:07,40.72299,-74.00239
9/5/2014 1:07,40.74442,-73.9793
9/5/2014 1:07,40.72013,-73.95978
9/5/2014 1:07,40.62466,-73.91158
9/5/2014 1:07,40.77452,-73.98915
9/5/2014 1:07,40.7596,-73.82966
9/5/2014 1:07,40.76128,-73.97518
9/5/2014 1:07,40.72439,-73.99586
9/5/2014 1:08,40.72853,-73.9894
9/5/2014 1:08,40.68702,-73.94358
9/5/2014 1:08,40.76201,-73.9685
9/5/2014 1:08,40.74213,-74.00078
9/5/2014 1:08,40.69868,-73.92469
9/5/2014 1:08,40.76165,-73.97479
9/5/2014 1:08,40.65975,-73.97927
9/5/2014 1:08,40.75048,-74.00521
9/5/2014 1:08,40.7161,-73.993
9/5/2014 1:08,40.72408,-73.99744
9/5/2014 1:08,40.78214,-73.95976
9/5/2014 1:09,40.72457,-73.99744
9/5/2014 1:09,40.72271,-73.99595
9/5/2014 1:09,40.81142,-73.95761
9/5/2014 1:09,40.67547,-73.98874
9/5/2014 1:09,40.7959,-73.97274
9/5/2014 1:09,40.71793,-73.95355
9/5/2014 1:09,40.70859,-73.95844
9/5/2014 1:10,40.76933,-73.92459
9/5/2014 1:10,40.869,-73.89028
9/5/2014 1:10,40.77549,-73.90813
9/5/2014 1:10,40.73907,-74.00098
9/5/2014 1:10,40.82338,-73.93093
9/5/2014 1:10,40.71874,-74.0003
9/5/2014 1:10,40.73514,-73.98565
9/5/2014 1:10,40.71444,-73.99166
9/5/2014 1:11,40.72752,-74.00884
9/5/2014 1:11,40.69862,-73.99146
9/5/2014 1:11,40.75622,-73.97732
9/5/2014 1:11,40.7366,-73.98184
9/5/2014 1:11,40.73748,-73.85293
9/5/2014 1:11,40.80065,-73.96185
9/5/2014 1:12,40.72757,-74.00018
9/5/2014 1:12,40.77367,-73.98374
9/5/2014 1:12,40.74056,-73.8919
9/5/2014 1:12,40.7519,-73.99866
9/5/2014 1:12,40.733,-73.98997
9/5/2014 1:12,40.71086,-73.94413
9/5/2014 1:13,40.71149,-73.95986
9/5/2014 1:13,40.72888,-73.98443
9/5/2014 1:13,40.71526,-74.00766
9/5/2014 1:13,40.72721,-74.00727
9/5/2014 1:13,40.72971,-73.99536
9/5/2014 1:13,40.74772,-73.99676
9/5/2014 1:13,40.7525,-73.98963
9/5/2014 1:13,40.75259,-73.98135
9/5/2014 1:14,40.7746,-73.98093
9/5/2014 1:14,40.73601,-73.9852
9/5/2014 1:14,40.72854,-73.98566
9/5/2014 1:14,40.69013,-73.98148
9/5/2014 1:14,40.75564,-73.98808
9/5/2014 1:14,40.71334,-73.96391
9/5/2014 1:15,40.60946,-73.95667
9/5/2014 1:15,40.75302,-73.97281
9/5/2014 1:15,40.6773,-73.94336
9/5/2014 1:16,40.74747,-73.98227
9/5/2014 1:16,40.67055,-73.94578
9/5/2014 1:16,40.75231,-73.97839
9/5/2014 1:16,40.63169,-73.94666
9/5/2014 1:16,40.74168,-73.98487
9/5/2014 1:16,40.74474,-73.9808
9/5/2014 1:16,40.81257,-73.88789
9/5/2014 1:16,40.78017,-73.98531
9/5/2014 1:16,40.7697,-73.99002
9/5/2014 1:16,40.76757,-73.96427
9/5/2014 1:16,40.64538,-73.78031
9/5/2014 1:16,40.72797,-73.98502
9/5/2014 1:17,40.80781,-73.9668
9/5/2014 1:17,40.74882,-73.97993
9/5/2014 1:17,40.63674,-73.89287
9/5/2014 1:17,40.6187,-73.94052
9/5/2014 1:17,40.76581,-73.95921
9/5/2014 1:17,40.67106,-73.93907
9/5/2014 1:17,40.76711,-73.96658
9/5/2014 1:17,40.78472,-73.97718
9/5/2014 1:17,40.6468,-73.78897
9/5/2014 1:17,40.74339,-73.97688
9/5/2014 1:17,40.75977,-73.98121
9/5/2014 1:18,40.70625,-73.92318
9/5/2014 1:18,40.71786,-73.99121
9/5/2014 1:18,40.7634,-73.91496
9/5/2014 1:18,40.75241,-73.99308
9/5/2014 1:18,40.79664,-73.93919
9/5/2014 1:18,40.76448,-73.9955
9/5/2014 1:18,40.71981,-73.96092
9/5/2014 1:18,40.72418,-73.95758
9/5/2014 1:19,40.73508,-74.00999
9/5/2014 1:19,40.75244,-73.97333
9/5/2014 1:19,40.75101,-74.00801
9/5/2014 1:19,40.80265,-73.96784
9/5/2014 1:19,40.73972,-74.00798
9/5/2014 1:19,40.78391,-73.95233
9/5/2014 1:19,40.66801,-73.93464
9/5/2014 1:20,40.7602,-73.96758
9/5/2014 1:20,40.71411,-73.99277
9/5/2014 1:20,40.76111,-73.98526
9/5/2014 1:20,40.71455,-74.01387
9/5/2014 1:20,40.7761,-73.98965
9/5/2014 1:20,40.76463,-73.93978
9/5/2014 1:20,40.74494,-73.9912
9/5/2014 1:20,40.74352,-73.9727
9/5/2014 1:20,40.71163,-73.99352
9/5/2014 1:21,40.72568,-73.94388
9/5/2014 1:21,40.73517,-73.98953
