time_of_trip,start_lat,start_lng,hour,hour_grouping
9/5/2014 0:14,40.71822,-73.95092,0,12:00 AM - 2:59 AM
9/5/2014 0:15,40.72266,-73.94398,0,12:00 AM - 2:59 AM
9/5/2014 0:15,40.69575,-73.98707,0,12:00 AM - 2:59 AM
9/5/2014 0:15,40.72134,-73.94284,0,12:00 AM - 2:59 AM
9/5/2014 0:15,40.74035,-73.97916,0,12:00 AM - 2:59 AM
9/5/2014 0:15,40.74993,-74.00547,0,12:00 AM - 2:59 AM
9/5/2014 0:15,40.75688,-73.98297,0,12:00 AM - 2:59 AM
9/5/2014 0:15,40.76451,-73.97763,0,12:00 AM - 2:59 AM
9/5/2014 0:15,40.74483,-73.97809,0,12:00 AM - 2:59 AM
9/5/2014 0:15,40.73372,-73.98731,0,12:00 AM - 2:59 AM
9/5/2014 0:15,40.7253,-73.98408,0,12:00 AM - 2:59 AM
9/5/2014 0:16,40.66819,-73.95285,0,12:00 AM - 2:59 AM
9/5/2014 0:16,40.70771,-74.00475,0,12:00 AM - 2:59 AM
9/5/2014 0:16,40.64096,-73.95615,0,12:00 AM - 2:59 AM
9/5/2014 0:16,40.7556,-73.98193,0,12:00 AM - 2:59 AM
9/5/2014 0:16,40.69178,-73.98834,0,12:00 AM - 2:59 AM
9/5/2014 0:16,40.65438,-73.94626,0,12:00 AM - 2:59 AM
9/5/2014 0:16,40.70669,-74.00924,0,12:00 AM - 2:59 AM
9/5/2014 0:16,40.73816,-73.99875,0,12:00 AM - 2:59 AM
9/5/2014 0:16,40.72531,-74.00127,0,12:00 AM - 2:59 AM
9/5/2014 0:16,40.7446,-73.98508,0,12:00 AM - 2:59 AM
9/5/2014 0:16,40.74889,-73.98564,0,12:00 AM - 2:59 AM
9/5/2014 0:17,40.72017,-74.00519,0,12:00 AM - 2:59 AM
9/5/2014 0:17,40.71661,-73.98844,0,12:00 AM - 2:59 AM
9/5/2014 0:17,40.71421,-73.94813,0,12:00 AM - 2:59 AM
9/5/2014 0:17,40.74345,-73.82813,0,12:00 AM - 2:59 AM
9/5/2014 0:17,40.71005,-74.01491,0,12:00 AM - 2:59 AM
9/5/2014 0:17,40.74202,-73.99465,0,12:00 AM - 2:59 AM
9/5/2014 0:17,40.72056,-73.94381,0,12:00 AM - 2:59 AM
9/5/2014 0:17,40.71983,-73.98315,0,12:00 AM - 2:59 AM
9/5/2014 0:18,40.72269,-73.98819,0,12:00 AM - 2:59 AM
9/5/2014 0:18,40.77088,-73.97971,0,12:00 AM - 2:59 AM
9/5/2014 0:18,40.75499,-73.99994,0,12:00 AM - 2:59 AM
9/5/2014 0:18,40.73013,-73.98948,0,12:00 AM - 2:59 AM
9/5/2014 0:18,40.76961,-73.95775,0,12:00 AM - 2:59 AM
9/5/2014 0:18,40.72906,-74.00933,0,12:00 AM - 2:59 AM
9/5/2014 0:18,40.73433,-74.00467,0,12:00 AM - 2:59 AM
9/5/2014 0:18,40.68975,-73.95534,0,12:00 AM - 2:59 AM
9/5/2014 0:18,40.73134,-73.97538,0,12:00 AM - 2:59 AM
9/5/2014 0:18,40.73378,-74.00178,0,12:00 AM - 2:59 AM
9/5/2014 0:19,40.7584,-73.99416,0,12:00 AM - 2:59 AM
9/5/2014 0:19,40.73827,-73.97846,0,12:00 AM - 2:59 AM
9/5/2014 0:19,40.72689,-74.00323,0,12:00 AM - 2:59 AM
9/5/2014 0:19,40.77208,-73.95594,0,12:00 AM - 2:59 AM
9/5/2014 0:19,40.75427,-73.96909,0,12:00 AM - 2:59 AM
9/5/2014 0:19,40.71858,-74.00046,0,12:00 AM - 2:59 AM
9/5/2014 0:19,40.75103,-73.97507,0,12:00 AM - 2:59 AM
9/5/2014 0:19,40.76613,-73.98711,0,12:00 AM - 2:59 AM
9/5/2014 0:19,40.74512,-73.99808,0,12:00 AM - 2:59 AM
9/5/2014 0:20,40.76539,-73.9548,0,12:00 AM - 2:59 AM
9/5/2014 0:20,40.73656,-73.9872,0,12:00 AM - 2:59 AM
9/5/2014 0:20,40.77168,-73.98484,0,12:00 AM - 2:59 AM
9/5/2014 0:20,40.7215,-73.99505,0,12:00 AM - 2:59 AM
9/5/2014 0:20,40.74441,-74.00652,0,12:00 AM - 2:59 AM
9/5/2014 0:20,40.74139,-73.99265,0,12:00 AM - 2:59 AM
9/5/2014 0:20,40.68863,-73.98517,0,12:00 AM - 2:59 AM
9/5/2014 0:20,40.72186,-74.00269,0,12:00 AM - 2:59 AM
9/5/2014 0:20,40.745,-73.98282,0,12:00 AM - 2:59 AM
9/5/2014 0:20,40.80899,-73.94453,0,12:00 AM - 2:59 AM
9/5/2014 0:21,40.69269,-73.85579,0,12:00 AM - 2:59 AM
9/5/2014 0:21,40.73133,-73.98861,0,12:00 AM - 2:59 AM
9/5/2014 0:21,40.68353,-73.96713,0,12:00 AM - 2:59 AM
9/5/2014 0:22,40.74157,-73.93609,0,12:00 AM - 2:59 AM
9/5/2014 0:22,40.6906,-73.99601,0,12:00 AM - 2:59 AM
9/5/2014 0:22,40.77254,-73.88605,0,12:00 AM - 2:59 AM
9/5/2014 0:22,40.73423,-73.99251,0,12:00 AM - 2:59 AM
9/5/2014 0:22,40.81131,-73.94212,0,12:00 AM - 2:59 AM
9/5/2014 0:22,40.74432,-73.99941,0,12:00 AM - 2:59 AM
9/5/2014 0:22,40.75546,-73.97586,0,12:00 AM - 2:59 AM
9/5/2014 0:23,40.88035,-73.90377,0,12:00 AM - 2:59 AM
9/5/2014 0:23,40.75246,-73.96821,0,12:00 AM - 2:59 AM
9/5/2014 0:23,40.72816,-73.97913,0,12:00 AM - 2:59 AM
9/5/2014 0:23,40.68527,-73.94332,0,12:00 AM - 2:59 AM
9/5/2014 0:23,40.74439,-73.99633,0,12:00 AM - 2:59 AM
9/5/2014 0:23,40.75368,-73.82756,0,12:00 AM - 2:59 AM
9/5/2014 0:24,40.74085,-73.98777,0,12:00 AM - 2:59 AM
9/5/2014 0:24,40.73354,-73.99165,0,12:00 AM - 2:59 AM
9/5/2014 0:24,40.72539,-73.94161,0,12:00 AM - 2:59 AM
9/5/2014 0:24,40.75906,-73.97844,0,12:00 AM - 2:59 AM
9/5/2014 0:24,40.69168,-73.96737,0,12:00 AM - 2:59 AM
9/5/2014 0:24,40.72554,-73.9498,0,12:00 AM - 2:59 AM
9/5/2014 0:24,40.69185,-73.96587,0,12:00 AM - 2:59 AM
9/5/2014 0:24,40.86188,-73.9261,0,12:00 AM - 2:59 AM
9/5/2014 0:24,40.74148,-73.97971,0,12:00 AM - 2:59 AM
9/5/2014 0:25,40.75676,-73.9979,0,12:00 AM - 2:59 AM
9/5/2014 0:25,40.77279,-73.9817,0,12:00 AM - 2:59 AM
9/5/2014 0:25,40.69578,-73.98434,0,12:00 AM - 2:59 AM
